RESPID,PHTYPE,economic_situation,registered_vote,likely_to_vote,vote_choice_undecided,approve_trump,approve_biden,optimistic,elec_enthusiasm,party,party_unaffiliated,political_leaning,education,age,age_bin,latino,race,gender,state,FINALWGT,vote_choice,vote_choice_recoded,party_recoded,age_recoded,race_recoded,male,education_recoded,region
4,2,1,True,1.0,,False,True,False,3.0,2,,3,8,80,,False,2,2,37,0.649034757460002,2.0,2.0,2.0,3.0,2,False,2,3
5,2,2,True,1.0,,False,False,True,3.0,2,,1,7,61,,False,1,1,36,0.58587780566,2.0,2.0,2.0,3.0,1,True,2,1
17,2,2,True,1.0,,False,True,True,1.0,2,,1,6,53,,False,2,2,13,0.943746318959999,2.0,2.0,2.0,2.0,2,False,2,3
19,2,1,False,,,False,False,False,,2,,1,3,62,,False,9,1,12,1.4238963358,,,2.0,3.0,9,True,1,3
20,2,2,False,,,False,False,False,,1,,2,4,37,,False,1,1,15,1.11172274622,,,1.0,2.0,1,True,2,4
21,2,1,True,1.0,,False,False,False,3.0,2,,1,3,54,,False,1,2,42,1.35575914042,2.0,2.0,2.0,2.0,1,False,1,1
22,2,1,True,2.0,,False,False,True,2.0,1,,2,7,45,,False,1,1,9,0.52431693012,2.0,2.0,1.0,2.0,1,True,2,1
32,2,2,True,1.0,,False,False,True,1.0,3,2.0,3,5,61,,False,1,1,37,0.83531035985,2.0,2.0,3.0,3.0,1,True,2,3
39,2,2,True,1.0,,True,False,True,1.0,1,,2,7,67,,False,1,1,23,0.56376920922,1.0,1.0,1.0,3.0,1,True,2,1
44,2,2,False,,,False,False,False,,1,,2,7,50,,False,1,2,37,0.55696094076,,,1.0,2.0,1,False,2,3
48,2,3,True,1.0,,True,False,True,3.0,1,,2,3,31,,False,1,1,4,1.34706982992,1.0,1.0,1.0,1.0,1,True,1,4
49,2,1,True,1.0,,False,False,False,3.0,2,,2,8,47,,False,1,2,9,0.606233761579999,2.0,2.0,2.0,2.0,1,False,2,1
55,2,3,True,2.0,,False,False,False,2.0,3,2.0,4,9,99,1.0,False,3,1,37,1.77608392945,2.0,2.0,3.0,3.0,3,True,3,3
56,2,2,False,,,False,False,False,,4,2.0,3,3,37,,True,1,1,13,1.4118222536,,,2.0,2.0,4,True,1,3
57,2,2,True,1.0,,True,False,False,9.0,1,,2,7,99,3.0,False,1,1,13,0.53825945394,1.0,1.0,1.0,3.0,1,True,2,3
58,2,3,False,,,False,False,False,,2,,3,6,63,,False,2,1,12,0.971986377859998,,,2.0,3.0,2,True,2,3
59,2,2,True,2.0,,False,False,False,3.0,4,2.0,3,7,61,,False,1,2,24,0.584205082100002,2.0,2.0,2.0,3.0,1,False,2,3
63,2,2,True,1.0,,False,False,True,1.0,3,1.0,3,8,70,,False,1,2,33,0.584205082100002,2.0,2.0,3.0,3.0,1,False,2,1
68,2,1,True,2.0,,False,False,False,1.0,3,2.0,3,3,37,,False,1,1,12,1.0426776167,2.0,2.0,3.0,2.0,1,True,1,3
72,2,2,False,,,False,False,False,,3,1.0,3,8,57,,False,1,1,36,0.52507916545,,,3.0,3.0,1,True,2,1
74,2,2,True,1.0,,False,False,True,3.0,1,,2,5,72,,False,1,1,36,0.939364449780002,1.0,1.0,1.0,3.0,1,True,2,1
80,2,3,False,,,False,False,False,,1,,2,3,25,,False,1,1,25,1.16405963472,,,1.0,1.0,1,True,1,1
81,2,2,True,1.0,,False,False,False,1.0,3,3.0,1,7,99,3.0,False,1,1,12,0.50132007965,2.0,2.0,3.0,3.0,1,True,2,3
82,2,2,True,1.0,,False,True,True,1.0,2,,1,8,41,,False,5,2,37,1.31190761988,2.0,2.0,2.0,2.0,9,False,2,3
93,2,2,True,1.0,,True,False,True,1.0,1,,3,1,89,,False,1,1,13,1.23952190814,1.0,1.0,1.0,3.0,1,True,1,3
95,2,1,True,3.0,1.0,False,False,False,2.0,3,3.0,3,5,50,,False,1,1,51,0.728957846550001,6.0,1.0,3.0,2.0,1,True,2,3
105,2,2,False,,,False,False,False,,1,,3,7,38,,False,1,2,13,0.55696094076,,,1.0,2.0,1,False,2,3
108,2,2,True,1.0,,False,False,False,2.0,2,,3,5,65,,False,1,2,42,1.08612637014,2.0,2.0,2.0,3.0,1,False,2,1
110,2,2,True,2.0,,False,False,False,3.0,4,1.0,4,3,42,,False,1,2,36,1.21506715415,1.0,1.0,1.0,2.0,1,False,1,1
111,2,1,False,,,False,False,False,,2,,1,6,27,,True,4,2,36,2.38426684252001,,,2.0,1.0,4,False,2,1
114,2,2,True,1.0,,False,True,True,1.0,3,2.0,2,8,68,,False,1,1,42,0.52507916545,2.0,2.0,3.0,3.0,1,True,2,1
119,2,2,True,2.0,,False,False,True,3.0,4,1.0,3,3,19,,False,2,1,12,1.07949100495,2.0,2.0,1.0,1.0,2,True,1,3
129,2,2,True,1.0,,False,True,False,3.0,2,,1,8,68,,False,1,1,54,0.55936766782,2.0,2.0,2.0,3.0,1,True,2,3
141,2,2,True,1.0,,False,False,True,2.0,2,,1,8,70,,False,1,2,12,0.622354600919999,2.0,2.0,2.0,3.0,1,False,2,3
144,2,1,True,1.0,,False,True,True,1.0,2,,3,2,41,,False,1,2,13,1.29441296648,2.0,2.0,2.0,2.0,1,False,1,3
154,2,2,False,,,False,False,False,,1,,3,2,26,,False,1,1,42,1.16405963472,,,1.0,1.0,1,True,1,1
157,2,2,True,1.0,,False,True,True,1.0,1,,3,6,84,,False,1,1,12,0.896859544259999,2.0,2.0,1.0,3.0,1,True,2,3
171,2,2,True,1.0,,False,False,False,3.0,1,,2,7,64,,False,1,1,42,0.56376920922,1.0,1.0,1.0,3.0,1,True,2,1
187,1,2,True,1.0,,False,False,False,1.0,2,,2,3,74,,False,1,1,42,1.34917904414,2.0,2.0,2.0,3.0,1,True,1,1
194,1,2,True,1.0,,False,False,True,3.0,1,,2,5,71,,False,1,2,21,0.9978493485,1.0,1.0,1.0,3.0,1,False,2,3
200,2,2,False,,,False,False,False,,3,3.0,4,3,63,,False,1,1,36,1.20916989805,,,3.0,3.0,1,True,1,1
201,2,3,True,1.0,,False,False,True,1.0,4,1.0,2,6,27,,False,1,1,37,1.3542298925,1.0,1.0,1.0,1.0,1,True,2,3
202,2,1,False,,,False,False,False,,3,3.0,4,3,22,,False,1,1,42,1.0841731892,,,3.0,1.0,1,True,1,1
203,2,2,True,1.0,,False,False,True,3.0,2,,3,3,61,,False,1,2,13,1.43317902928,2.0,2.0,2.0,3.0,1,False,1,3
220,2,2,True,1.0,,True,False,True,1.0,1,,2,3,65,,False,1,2,34,1.44445640052,1.0,1.0,1.0,3.0,1,False,1,1
231,1,2,True,1.0,,True,False,True,1.0,3,1.0,2,7,99,3.0,False,1,2,39,0.55963313735,1.0,1.0,3.0,3.0,1,False,2,2
242,2,2,True,1.0,,False,False,False,1.0,2,,1,8,58,,False,2,2,34,0.679794492539998,2.0,2.0,2.0,3.0,2,False,2,1
247,1,2,True,3.0,,False,False,False,2.0,1,,2,8,90,,False,1,1,48,0.65240342502,2.0,2.0,1.0,3.0,1,True,2,3
257,2,2,True,1.0,,False,True,True,1.0,2,,3,7,85,,False,1,1,6,0.55547847482,2.0,2.0,2.0,3.0,1,True,2,4
272,2,2,True,1.0,,False,True,True,1.0,2,,1,7,71,,False,1,2,37,0.622354600919999,2.0,2.0,2.0,3.0,1,False,2,3
275,1,9,True,1.0,,True,False,False,9.0,3,1.0,2,9,99,1.0,False,9,2,27,0.966935392550001,1.0,1.0,3.0,3.0,9,False,3,2
298,2,2,True,1.0,,False,False,False,1.0,1,,2,7,63,,False,1,2,1,0.59886952164,1.0,1.0,1.0,3.0,1,False,2,3
301,2,3,True,1.0,,True,False,True,1.0,1,,3,7,31,,False,1,1,48,0.816024339239998,1.0,1.0,1.0,1.0,1,True,2,3
305,2,2,True,1.0,,False,False,True,2.0,3,1.0,3,7,36,,True,4,2,36,0.735678106650003,2.0,2.0,3.0,2.0,4,False,2,1
328,1,2,True,1.0,,True,False,True,1.0,1,,2,3,61,,False,1,2,39,1.3837018743,1.0,1.0,1.0,3.0,1,False,1,2
329,1,2,True,1.0,,True,False,True,1.0,1,,2,6,77,,False,2,2,37,1.04062685514,1.0,1.0,1.0,3.0,2,False,2,3
334,2,2,True,1.0,,False,False,False,1.0,2,,3,8,74,,False,1,1,26,0.56123550548,2.0,2.0,2.0,3.0,1,True,2,2
335,2,1,False,,,False,False,False,,4,1.0,1,6,67,,False,1,1,40,1.0124473171,,,1.0,3.0,1,True,2,3
345,2,2,True,1.0,,False,False,True,3.0,1,,2,3,46,,False,1,1,12,1.11950649372,1.0,1.0,1.0,2.0,1,True,1,3
348,2,1,False,,,False,False,False,,1,,2,1,82,,False,1,1,13,1.23952190814,,,1.0,3.0,1,True,1,3
350,2,1,True,1.0,,False,False,True,1.0,2,,3,5,19,,True,1,1,51,2.04599528486,2.0,2.0,2.0,1.0,4,True,2,3
355,1,2,True,1.0,,True,False,True,1.0,3,1.0,3,8,74,,False,1,2,12,0.5577706329,1.0,1.0,3.0,3.0,1,False,2,3
356,1,2,False,,,False,False,False,,2,,1,2,30,,False,1,1,45,1.15497141762,,,2.0,1.0,1,True,1,3
364,2,3,True,1.0,,True,False,False,1.0,1,,2,3,99,3.0,False,9,1,18,1.3747396443,1.0,1.0,1.0,3.0,9,True,1,2
367,2,2,True,1.0,,False,True,False,1.0,2,,1,8,44,,False,1,1,37,0.52022340588,2.0,2.0,2.0,2.0,1,True,2,3
368,2,1,True,1.0,,False,False,False,3.0,3,3.0,2,5,60,,False,2,2,13,0.969211286650003,2.0,2.0,3.0,3.0,2,False,2,3
373,1,2,True,1.0,,False,False,True,1.0,3,3.0,3,5,42,,False,1,1,1,0.728957846550001,2.0,2.0,3.0,2.0,1,True,2,3
374,2,1,True,1.0,,False,True,True,1.0,9,3.0,3,7,72,,False,9,2,45,0.649008688,2.0,2.0,3.0,3.0,9,False,2,3
381,1,2,True,1.0,,True,False,True,1.0,1,,3,3,60,,False,1,1,24,1.29826662738,1.0,1.0,1.0,3.0,1,True,1,3
392,2,3,True,2.0,,False,False,True,3.0,2,,1,7,31,,False,1,1,17,0.70199176598,2.0,2.0,2.0,1.0,1,True,2,2
395,1,2,True,1.0,,False,True,True,1.0,2,,3,3,73,,False,1,2,55,1.4379646929,2.0,2.0,2.0,3.0,1,False,1,2
402,2,1,False,,,False,False,False,,3,3.0,3,5,75,,False,1,2,25,0.973415143049998,,,3.0,3.0,1,False,2,1
404,1,2,True,1.0,,False,False,True,2.0,2,,1,3,88,,False,1,2,42,1.50110174956,2.0,2.0,2.0,3.0,1,False,1,1
424,2,3,True,2.0,2.0,False,False,False,2.0,2,,1,7,24,,False,1,2,21,0.778439355,6.0,2.0,2.0,1.0,1,False,2,3
426,2,2,True,1.0,,False,True,True,1.0,3,1.0,3,7,51,,False,1,1,42,0.4883343957,2.0,2.0,3.0,2.0,1,True,2,1
428,2,9,True,2.0,,False,True,True,1.0,3,3.0,4,7,99,1.0,False,1,1,28,0.627049722049998,2.0,2.0,3.0,3.0,1,True,2,3
429,2,2,True,1.0,,True,False,True,3.0,1,,3,3,34,,False,1,1,47,1.11138759054,1.0,1.0,1.0,1.0,1,True,1,3
434,1,2,True,1.0,,False,False,True,1.0,3,2.0,3,5,42,,False,1,2,26,0.813749505650003,2.0,2.0,3.0,2.0,1,False,2,2
437,1,2,True,1.0,,False,False,False,3.0,2,,1,8,58,,False,1,2,17,0.624432763780002,2.0,2.0,2.0,3.0,1,False,2,2
449,1,2,True,1.0,,True,False,True,3.0,4,1.0,2,3,71,,False,1,1,47,1.15445667915,1.0,1.0,1.0,3.0,1,True,1,3
457,1,2,True,2.0,,False,False,True,3.0,1,,3,7,73,,False,1,1,36,0.56376920922,1.0,1.0,1.0,3.0,1,True,2,1
460,2,1,True,3.0,2.0,False,False,False,3.0,2,,3,3,46,,False,2,1,39,1.21733508662,6.0,2.0,2.0,2.0,2,True,1,2
464,2,2,True,1.0,,True,False,True,1.0,1,,2,6,64,,False,9,1,26,0.994696715160003,1.0,1.0,1.0,3.0,9,True,2,2
485,1,1,True,1.0,,False,False,False,3.0,2,,3,7,44,,False,1,1,25,0.54487837836,2.0,2.0,2.0,2.0,1,True,2,1
497,2,2,True,1.0,,True,False,True,3.0,1,,3,5,75,,False,1,2,26,1.0011813621,1.0,1.0,1.0,3.0,1,False,2,2
498,1,2,True,1.0,,False,True,True,1.0,2,,3,7,68,,False,1,2,55,0.624432763780002,2.0,2.0,2.0,3.0,1,False,2,2
499,2,1,True,3.0,2.0,False,False,False,2.0,2,,3,7,38,,False,1,2,39,0.58073528032,6.0,2.0,2.0,2.0,1,False,2,2
504,1,3,True,1.0,,False,True,True,3.0,2,,1,5,46,,False,1,1,42,0.851911266440002,2.0,2.0,2.0,2.0,1,True,2,1
505,1,2,True,1.0,,False,False,False,1.0,2,,3,6,80,,False,1,2,42,1.08612637014,2.0,2.0,2.0,3.0,1,False,2,1
507,2,2,True,1.0,,False,False,True,3.0,1,,2,3,82,,False,1,2,42,1.44445640052,1.0,1.0,1.0,3.0,1,False,1,1
510,2,2,True,1.0,,False,True,True,1.0,2,,3,8,84,,False,1,1,42,0.58587780566,2.0,2.0,2.0,3.0,1,True,2,1
512,1,2,True,1.0,,False,False,True,2.0,1,,2,5,73,,False,1,2,21,0.9978493485,2.0,2.0,1.0,3.0,1,False,2,3
515,2,3,False,,,False,False,False,,4,3.0,1,2,46,,True,1,1,9,1.4787328113,,,3.0,2.0,4,True,1,1
516,2,2,True,1.0,,False,False,False,1.0,2,,3,7,29,,False,1,2,36,0.815331968120002,2.0,2.0,2.0,1.0,1,False,2,1
521,1,3,True,1.0,,True,False,True,1.0,1,,2,3,57,,False,1,1,17,1.2436609131,1.0,1.0,1.0,3.0,1,True,1,2
522,1,2,True,1.0,,True,False,False,3.0,1,,2,7,73,,False,1,1,55,0.54005680716,1.0,1.0,1.0,3.0,1,True,2,2
529,1,2,True,1.0,,False,False,True,1.0,2,,3,7,60,,False,1,2,23,0.651849881080001,2.0,2.0,2.0,3.0,1,False,2,1
546,2,2,True,1.0,,False,False,True,1.0,3,2.0,1,5,71,,False,1,1,26,0.8380996235,2.0,2.0,3.0,3.0,1,True,2,2
553,1,3,True,1.0,,False,True,True,3.0,1,,2,5,57,,False,1,1,5,0.896859544259999,1.0,1.0,1.0,3.0,1,True,2,3
559,1,2,True,1.0,,False,True,True,1.0,3,2.0,3,5,90,,False,1,2,19,0.932472837250001,2.0,2.0,3.0,3.0,1,False,2,2
560,1,2,True,3.0,,False,False,False,2.0,3,1.0,3,1,70,,True,4,2,48,2.10801027765,2.0,2.0,3.0,3.0,4,False,1,3
561,2,2,False,,,False,False,False,,1,,2,6,70,,False,3,2,55,2.26926689736001,,,1.0,3.0,3,False,2,2
562,1,1,True,1.0,,False,False,True,1.0,2,,1,8,62,,False,1,2,1,0.622354600919999,2.0,2.0,2.0,3.0,1,False,2,3
567,1,2,True,1.0,,True,False,True,1.0,1,,3,3,58,,False,1,1,5,1.23952190814,1.0,1.0,1.0,3.0,1,True,1,3
569,1,2,True,1.0,,False,True,False,3.0,2,,3,3,58,,False,1,1,19,1.2924319293,2.0,2.0,2.0,3.0,1,True,1,2
587,1,3,True,1.0,,False,False,True,3.0,3,3.0,4,8,59,,False,9,1,48,0.671673382349997,1.0,1.0,3.0,3.0,9,True,2,3
590,1,3,True,1.0,,False,False,True,3.0,4,1.0,2,3,33,,False,1,1,17,1.03857234655,1.0,1.0,1.0,1.0,1,True,1,2
592,1,2,True,1.0,,True,False,True,1.0,1,,2,5,88,,False,1,2,48,1.20945452766,1.0,1.0,1.0,3.0,1,False,2,3
595,2,2,True,2.0,,True,False,True,3.0,1,,1,3,65,,False,1,1,48,1.50237647016,1.0,1.0,1.0,3.0,1,True,1,3
599,1,1,True,1.0,,False,True,True,3.0,2,,3,3,73,,False,1,2,19,1.4379646929,2.0,2.0,2.0,3.0,1,False,1,2
603,1,2,True,1.0,,False,True,True,1.0,4,2.0,3,6,76,,False,1,2,27,0.932472837250001,2.0,2.0,2.0,3.0,1,False,2,2
606,2,2,True,1.0,,True,False,True,3.0,1,,2,3,61,,False,1,1,48,1.50237647016,1.0,1.0,1.0,3.0,1,True,1,3
611,1,2,True,1.0,,False,False,True,3.0,1,,3,8,71,,False,1,1,40,0.65240342502,2.0,2.0,1.0,3.0,1,True,2,3
615,2,2,True,1.0,,False,False,True,3.0,1,,3,3,86,,False,1,1,1,1.23952190814,1.0,1.0,1.0,3.0,1,True,1,3
619,1,1,False,,,False,False,False,,4,3.0,3,6,48,,False,1,2,48,0.983031707100002,,,3.0,2.0,1,False,2,3
623,2,3,True,1.0,,False,False,True,1.0,3,1.0,3,7,52,,False,1,1,27,0.4677948181,1.0,1.0,3.0,2.0,1,True,2,2
625,1,1,True,1.0,,False,True,False,3.0,2,,3,3,81,,False,2,1,48,1.62822537232,2.0,2.0,2.0,3.0,2,True,1,3
628,1,1,True,1.0,,False,False,False,3.0,3,1.0,2,6,59,,True,4,1,48,1.3708893623,1.0,1.0,3.0,3.0,4,True,2,3
632,2,3,True,1.0,,True,False,True,3.0,3,3.0,2,7,38,,False,1,2,5,0.5187381311,1.0,1.0,3.0,2.0,1,False,2,3
634,2,1,False,,,False,False,False,,2,,3,8,56,,False,1,1,40,0.677987873060001,,,2.0,3.0,1,True,2,3
641,2,2,False,,,False,False,False,,3,2.0,3,6,25,,True,4,1,48,2.22252643259999,,,3.0,1.0,4,True,2,3
648,2,3,True,1.0,,False,False,True,2.0,2,,2,4,93,,False,1,2,55,1.4379646929,2.0,2.0,2.0,3.0,1,False,2,2
660,1,2,True,1.0,,False,True,True,1.0,2,,3,3,70,,False,1,1,22,1.28813061042,2.0,2.0,2.0,3.0,1,True,1,3
661,1,2,True,1.0,,False,False,False,3.0,3,2.0,1,3,67,,False,1,1,48,1.3992722026,2.0,2.0,3.0,3.0,1,True,1,3
672,1,2,True,1.0,,True,False,True,3.0,1,,2,7,60,,False,1,2,28,0.59886952164,1.0,1.0,1.0,3.0,1,False,2,3
678,2,2,True,1.0,,False,False,True,1.0,2,,1,7,72,,False,1,1,6,0.55547847482,2.0,2.0,2.0,3.0,1,True,2,4
681,1,2,True,1.0,1.0,False,False,False,2.0,1,,3,6,52,,False,1,2,41,0.86474767068,8.0,1.0,1.0,2.0,1,False,2,4
682,1,2,False,,,False,False,False,,9,1.0,2,3,18,,False,1,2,49,1.469367677,,,1.0,1.0,1,False,1,4
683,1,3,True,1.0,,False,False,True,3.0,1,,2,8,72,,False,1,1,6,0.53451702294,1.0,1.0,1.0,3.0,1,True,2,4
685,1,2,True,1.0,,True,False,True,3.0,1,,2,5,57,,False,1,2,8,1.20945452766,1.0,1.0,1.0,3.0,1,False,2,4
690,2,3,True,1.0,,False,False,False,3.0,2,,1,7,23,,False,1,2,34,0.815331968120002,2.0,2.0,2.0,1.0,1,False,2,1
694,1,2,True,2.0,9.0,False,False,True,1.0,3,2.0,1,5,57,,False,1,1,6,0.829502581400001,9.0,3.0,3.0,3.0,1,True,2,4
697,1,1,True,1.0,,False,True,False,1.0,2,,1,7,59,,False,1,2,6,0.61802746998,2.0,2.0,2.0,3.0,1,False,2,4
699,2,2,True,1.0,,False,False,False,2.0,4,1.0,2,7,47,,False,1,1,2,0.46299628165,1.0,1.0,1.0,2.0,1,True,2,4
700,1,2,True,1.0,,False,False,False,2.0,1,,2,7,76,,False,1,1,6,0.53451702294,1.0,1.0,1.0,3.0,1,True,2,4
702,2,1,True,1.0,2.0,False,False,True,2.0,3,2.0,1,8,60,,False,1,1,35,0.607630640950002,8.0,2.0,3.0,3.0,1,True,2,4
706,1,2,True,1.0,,False,False,False,3.0,3,2.0,1,3,20,,False,1,1,41,1.02791890025,2.0,2.0,3.0,1.0,1,True,1,4
708,2,2,True,1.0,2.0,False,False,False,1.0,2,,2,8,71,,False,1,1,41,0.55547847482,6.0,2.0,2.0,3.0,1,True,2,4
709,1,2,True,1.0,,False,False,False,2.0,1,,2,3,20,,False,1,1,4,1.34706982992,1.0,1.0,1.0,1.0,1,True,1,4
711,1,2,True,1.0,,True,False,True,1.0,3,3.0,2,6,73,,False,1,2,6,0.922907736599999,1.0,1.0,3.0,3.0,1,False,2,4
712,1,3,True,2.0,,False,False,True,3.0,3,9.0,3,8,87,,True,1,2,35,0.915398472049998,1.0,1.0,3.0,3.0,4,False,2,4
713,2,2,True,1.0,,False,False,False,2.0,3,3.0,3,6,64,,False,1,2,41,0.922907736599999,2.0,2.0,3.0,3.0,1,False,2,4
717,2,2,True,2.0,,False,False,False,2.0,3,3.0,2,6,38,,False,1,2,30,0.983031707100002,1.0,1.0,3.0,2.0,1,False,2,4
721,1,1,True,1.0,,False,False,False,2.0,3,2.0,3,6,36,,False,1,1,8,0.883541557749999,2.0,2.0,3.0,2.0,1,True,2,4
723,2,2,True,2.0,2.0,False,False,True,3.0,3,1.0,3,7,27,,False,1,1,19,0.62914356385,6.0,2.0,3.0,1.0,1,True,2,2
725,2,1,True,1.0,,False,True,True,1.0,2,,1,8,66,,False,1,1,56,0.677987873060001,2.0,2.0,2.0,3.0,1,True,2,4
728,2,2,False,,,False,False,False,,3,2.0,1,4,25,,False,1,2,32,1.39589929315,,,3.0,1.0,1,False,2,4
729,1,1,True,1.0,,False,False,True,1.0,1,,3,8,51,,False,1,2,4,0.675070772820003,2.0,2.0,1.0,2.0,1,False,2,4
737,2,2,True,1.0,,False,True,True,3.0,2,,1,8,62,,False,1,2,35,0.754331893720001,2.0,2.0,2.0,3.0,1,False,2,4
741,1,2,True,1.0,,False,False,False,2.0,3,2.0,3,6,71,,False,1,2,53,0.922907736599999,2.0,2.0,3.0,3.0,1,False,2,4
743,1,2,True,1.0,,False,False,True,2.0,2,,1,3,52,,False,1,2,6,1.2854131234,2.0,2.0,2.0,2.0,1,False,1,4
744,1,1,True,1.0,,False,True,True,1.0,3,2.0,3,7,86,,False,1,2,53,0.55389254385,2.0,2.0,3.0,3.0,1,False,2,4
745,1,2,True,1.0,,True,False,False,9.0,1,,2,5,81,,False,1,2,41,0.990911464559998,1.0,1.0,1.0,3.0,1,False,2,4
748,2,1,True,1.0,,False,False,False,3.0,2,,1,8,53,,False,1,2,6,0.574778225539998,2.0,2.0,2.0,2.0,1,False,2,4
749,2,3,True,1.0,,False,False,True,3.0,2,,3,7,36,,False,1,2,4,0.701544136460002,2.0,2.0,2.0,2.0,1,False,2,4
756,1,2,True,1.0,,False,True,False,3.0,2,,2,3,86,,True,1,2,6,1.92708243163999,2.0,2.0,2.0,3.0,4,False,1,4
760,1,3,True,1.0,,True,False,True,1.0,4,1.0,2,8,70,,False,1,2,6,0.55389254385,1.0,1.0,1.0,3.0,1,False,2,4
761,1,2,True,1.0,,True,False,True,3.0,1,,2,8,63,,False,1,2,2,0.59470567866,1.0,1.0,1.0,3.0,1,False,2,4
764,1,2,True,1.0,,False,False,False,1.0,2,,1,7,67,,False,1,2,6,0.61802746998,2.0,2.0,2.0,3.0,1,False,2,4
774,2,1,True,1.0,,False,False,False,3.0,2,,2,5,85,,False,1,2,41,1.02977073768,2.0,2.0,2.0,3.0,1,False,2,4
775,2,2,True,2.0,2.0,False,False,True,3.0,1,,2,3,32,,False,2,1,6,1.15097388234,8.0,2.0,1.0,1.0,2,True,1,4
780,2,2,True,1.0,,True,False,True,3.0,4,2.0,3,8,74,,False,1,2,6,0.55389254385,2.0,2.0,2.0,3.0,1,False,2,4
781,2,1,True,1.0,,False,False,False,1.0,2,,1,7,62,,False,1,2,6,0.61802746998,2.0,2.0,2.0,3.0,1,False,2,4
782,2,2,True,1.0,,False,False,False,2.0,2,,3,8,54,,True,1,2,6,0.778269982899998,2.0,2.0,2.0,2.0,4,False,2,4
786,2,1,True,1.0,,False,False,True,1.0,2,,1,6,77,,False,1,1,6,0.925550248720001,2.0,2.0,2.0,3.0,1,True,2,4
787,2,2,True,1.0,,False,False,False,3.0,3,2.0,3,3,33,,False,1,1,6,1.02791890025,2.0,2.0,3.0,1.0,1,True,1,4
788,2,3,False,,,False,False,False,,3,2.0,3,5,25,,True,1,1,6,1.82092577435,,,3.0,1.0,4,True,2,4
792,2,3,True,1.0,,False,False,True,2.0,2,,3,2,55,,False,2,1,34,1.40701794944,2.0,2.0,2.0,3.0,2,True,1,1
803,2,1,True,1.0,,False,False,False,2.0,3,3.0,1,3,70,,False,2,2,9,1.403000812,2.0,2.0,3.0,3.0,2,False,1,1
817,1,1,True,1.0,,False,False,True,9.0,2,,2,6,60,,False,3,2,36,2.46180233922,2.0,2.0,2.0,3.0,3,False,2,1
823,2,3,True,3.0,1.0,False,False,False,2.0,4,3.0,3,3,29,,False,2,1,26,1.08309563555,6.0,1.0,3.0,1.0,2,True,1,2
828,2,3,True,1.0,,False,False,False,3.0,3,1.0,2,8,27,,False,1,1,37,0.627049722049998,1.0,1.0,3.0,1.0,1,True,2,3
953,1,2,True,1.0,,False,True,False,3.0,2,,4,2,71,,False,2,2,37,1.4946189899,2.0,2.0,2.0,3.0,2,False,1,3
